Carimbo de data/hora,Idade,Sexo biológico,Renda familiar total,1. Investir uma parte significativa da sua renda em ações de uma empresa na bolsa de valores. ,"2. Praticar esportes radicais, como paraquedismo ou bungee jump. ","3. Apostar dinheiro em jogos de azar, como loteria ou pôquer. ",4. Dirigir acima do limite de velocidade permitido em uma rodovia. ,5. Aceitar uma proposta de emprego sem ter certeza se está qualificado para o cargo. ,6. Andar sozinho(a) em uma área desconhecida de uma cidade à noite. ,7. Emprestar uma quantia significativa de dinheiro para um conhecido sem garantias de pagamento. ,8. Experimentar um novo prato exótico sem saber quais são os ingredientes. ,9. Viajar para um país estrangeiro sem planejar detalhes sobre estadia e transporte. ,10. Investir dinheiro em uma startup sem garantia de retorno. ,11. Participar de um protesto público sobre um tema controverso. ,12. Nadar em um rio ou mar sem saber se há correntezas perigosas. ,13. Comprar um produto caro sem pesquisar avaliações ou recomendações. ,14. Sair de um emprego estável para iniciar seu próprio negócio. ,15. Falar em público para uma grande plateia sem muito preparo prévio. ,16. Consumir alimentos de origem duvidosa ou sem verificar a validade. ,17. Entrar em um relacionamento amoroso sem conhecer bem a outra pessoa. ,18. Fazer uma aposta financeira baseada apenas na intuição. ,19. Confiar em um estranho para te ajudar em uma situação delicada. ,20. Fazer uma compra de alto valor parcelada sem ter certeza se conseguirá pagar as parcelas. ,21. Participar de uma atividade social onde você não conhece ninguém. ,22. Pular de um barco ou de um píer para nadar em águas desconhecidas. ,23. Sair de casa sem trancar portas ou janelas. ,24. Enviar informações pessoais para um site desconhecido. ,24. Enviar informações pessoais para um site desconhecido. ,25. Sair para um evento social sem checar os detalhes ou planejar sua volta para casa. ,26. Fazer uma mudança importante na vida sem consultar amigos ou familiares. ,"27. Emprestar seu carro para alguém que você conhece, mas que não dirige com frequência. ",28. Ignorar sintomas de saúde e evitar procurar um médico. ,"29. Realizar uma atividade ilegal de baixo risco, como pular uma catraca ou baixar conteúdo pirata. ",30. Aceitar um desafio ou aposta em um momento de descontração sem avaliar as consequências. ,Nome da pessoa fictícia (ou usuário)
27/03/2025 14:09:48,30,Masculino,"2.000,00 até 5.000,00",3,5,4,3,3,5,6,5,2,7,7,7,2,1,7,6,5,2,2,4,5,5,5,4,2,2,1,6,5,4,7,
27/03/2025 14:45:17,40,Femenino,"5.000,00 até 10.000,00",2,7,6,5,1,1,4,3,4,7,7,7,1,1,1,3,2,3,4,6,5,3,2,5,5,3,2,2,1,6,7,
31/03/2025 08:40:32,47,Masculino,"10.000,00 até 30.000,00",5,2,1,2,3,3,3,7,6,3,7,5,4,1,6,3,2,2,5,3,6,5,2,5,4,5,5,1,2,2,4,Xavier
31/03/2025 08:42:47,44,Feminino,"2.000,00 até 5.000,00",2,1,4,1,1,5,3,7,6,1,7,7,3,1,7,2,5,4,6,7,7,7,3,6,7,4,4,2,2,1,1,Wagner
31/03/2025 08:43:15,60,Masculino,"maior que 30.000,00",4,2,5,7,5,6,4,2,4,2,4,5,6,7,6,5,7,5,3,4,5,4,1,3,3,5,6,3,7,3,7,Otávio 
31/03/2025 08:43:37,34,Feminino,"5.000,00 até 10.000,00",2,5,1,2,3,1,2,6,3,2,5,5,3,4,5,2,4,3,2,5,5,4,1,4,4,5,5,3,2,1,5,Larissa
31/03/2025 08:43:58,89,Masculino,"maior que 30.000,00",6,7,4,7,1,1,1,7,6,1,6,6,1,7,7,5,6,6,2,1,7,7,1,3,3,3,6,2,5,7,6,Seu Zé
31/03/2025 08:43:59,30,Feminino,"5.000,00 até 10.000,00",2,3,2,4,5,1,2,7,6,2,7,5,3,4,5,3,5,5,5,3,7,4,2,3,3,5,7,6,1,6,6,Kleber
31/03/2025 08:44:18,59,Feminino,"2.000,00 até 5.000,00",2,1,3,3,2,2,5,6,6,1,7,2,3,1,7,1,6,5,5,5,7,1,7,6,6,5,7,5,7,3,4,Quirino
31/03/2025 08:44:20,35,Masculino,"10.000,00 até 30.000,00",5,6,3,5,2,2,6,4,5,3,2,6,4,6,4,3,3,5,4,2,5,6,3,3,3,4,7,3,4,2,5,Otávio
